"Rendimiento","Fertilizacion","Precipitacion","pH_suelo"
4094.57439808635,"A",771.98,8
4742.84985755756,"B",788.49,7
4609.31517350911,"A",877.94,7
4909.47084470717,"B",803.53,7
4489.67959687339,"A",806.46,7
5035.07034565749,"B",885.75,7
4645.69957607887,"A",823.05,6
4754.26564385455,"B",736.75,7
4025.92908400224,"A",765.66,8
4844.74919216729,"B",777.72,7
4663.42285700644,"A",861.2,7
4989.74850153317,"B",817.99,7
4535.46576794714,"A",820.04,7
4907.08413390226,"B",805.53,7
4461.36734864079,"A",772.21,6
4748.4101047971,"B",889.35,8
4477.82089815205,"A",824.89,7
4798.873469636,"B",701.67,6
4776.28488408682,"A",835.07,6
4961.73216486867,"B",776.36,6
4391.08529097751,"A",746.61,7
4890.49244196288,"B",789.1,7
4233.08158584589,"A",748.7,7
4899.68667794685,"B",763.56,7
4218.77837786807,"A",768.75,7
4559.81113760753,"B",715.67,7
4986.36024800498,"A",841.89,6
5127.95791872209,"B",807.67,6
4364.17184214083,"A",743.09,7
5175.56433550855,"B",862.69,6
4255.56831979571,"A",821.32,8
4886.21739036368,"B",785.25,7
4586.66385452058,"A",844.76,7
5153.12137404892,"B",843.91,6
4545.70592746254,"A",841.08,7
5112.7629346888,"B",834.43,6
4568.22033252443,"A",827.7,7
4997.62750898606,"B",796.9,7
4123.95123035126,"A",784.7,7
5156.99934623001,"B",780.98,6
4354.30555031915,"A",765.26,6
4909.07692689826,"B",789.6,7
4044.54526381426,"A",736.73,8
5459.58601718986,"B",908.45,6
4546.88860431402,"A",860.4,7
4519.97210212421,"B",743.84,8
4373.39187007145,"A",779.86,7
5106.67528199487,"B",776.67,6
4531.2663016098,"A",839,6
4721.7670731941,"B",795.83,7
4587.38523411882,"A",812.67,7
4999.65788471116,"B",798.57,7
4436.03889489077,"A",797.86,7
5211.02284071111,"B",868.43,7
4252.2024917641,"A",788.71,8
4899.27772015343,"B",875.82,7
4239.98770966388,"A",722.56,7
4953.80624034377,"B",829.23,7
4444.72668306312,"A",806.19,7
5108.28421991164,"B",810.8,6
4553.62649540787,"A",818.98,7
4777.23275510444,"B",774.88,7
4393.54037658882,"A",783.34,7
